1787529600.000000 IP 10.70.0.66.40000 > 10.70.0.53.53: UDP, length 49
1787537530.005000 IP 10.70.0.66.40133 > 203.0.113.66.443: tcp 0
1787537530.006000 IP 203.0.113.66.443 > 10.70.0.66.40133: tcp 0
1787537540.000000 IP 10.70.0.66.40134 > 203.0.113.66.443: tcp 0
1787537540.001000 IP 203.0.113.66.443 > 10.70.0.66.40134: tcp 0
1787537540.002000 IP 10.70.0.66.40134 > 203.0.113.66.443: tcp 0
1787537540.003000 IP 10.70.0.66.40134 > 203.0.113.66.443: tcp 50086
1787537540.004000 IP 203.0.113.66.443 > 10.70.0.66.40134: tcp 2
1787537540.005000 IP 10.70.0.66.40134 > 203.0.113.66.443: tcp 0
1787537540.006000 IP 203.0.113.66.443 > 10.70.0.66.40134: tcp 0
1787537550.000000 IP 10.70.0.66.40135 > 203.0.113.66.443: tcp 0
1787537550.001000 IP 203.0.113.66.443 > 10.70.0.66.40135: tcp 0
1787537550.002000 IP 10.70.0.66.40135 > 203.0.113.66.443: tcp 0
1787537550.003000 IP 10.70.0.66.40135 > 203.0.113.66.443: tcp 50086
1787537550.004000 IP 203.0.113.66.443 > 10.70.0.66.40135: tcp 2
1787537550.005000 IP 10.70.0.66.40135 > 203.0.113.66.443: tcp 0
1787537550.006000 IP 203.0.113.66.443 > 10.70.0.66.40135: tcp 0
1787537560.000000 IP 10.70.0.66.40136 > 203.0.113.66.443: tcp 0
1787537560.001000 IP 203.0.113.66.443 > 10.70.0.66.40136: tcp 0
1787537560.002000 IP 10.70.0.66.40136 > 203.0.113.66.443: tcp 0
1787537560.003000 IP 10.70.0.66.40136 > 203.0.113.66.443: tcp 50086
1787537560.004000 IP 203.0.113.66.443 > 10.70.0.66.40136: tcp 2
1787537560.005000 IP 10.70.0.66.40136 > 203.0.113.66.443: tcp 0
1787537560.006000 IP 203.0.113.66.443 > 10.70.0.66.40136: tcp 0
1787537570.000000 IP 10.70.0.66.40137 > 203.0.113.66.443: tcp 0
1787537570.001000 IP 203.0.113.66.443 > 10.70.0.66.40137: tcp 0
1787537570.002000 IP 10.70.0.66.40137 > 203.0.113.66.443: tcp 0
1787537570.003000 IP 10.70.0.66.40137 > 203.0.113.66.443: tcp 50086
1787537570.004000 IP 203.0.113.66.443 > 10.70.0.66.40137: tcp 2
1787537570.005000 IP 10.70.0.66.40137 > 203.0.113.66.443: tcp 0
1787537570.006000 IP 203.0.113.66.443 > 10.70.0.66.40137: tcp 0
1787537580.000000 IP 10.70.0.66.40138 > 203.0.113.66.443: tcp 0
1787537580.001000 IP 203.0.113.66.443 > 10.70.0.66.40138: tcp 0
1787537580.002000 IP 10.70.0.66.40138 > 203.0.113.66.443: tcp 0
1787537580.003000 IP 10.70.0.66.40138 > 203.0.113.66.443: tcp 50086
1787537580.004000 IP 203.0.113.66.443 > 10.70.0.66.40138: tcp 2
1787537580.005000 IP 10.70.0.66.40138 > 203.0.113.66.443: tcp 0
1787537580.006000 IP 203.0.113.66.443 > 10.70.0.66.40138: tcp 0
1787537590.000000 IP 10.70.0.66.40139 > 203.0.113.66.443: tcp 0
1787537590.001000 IP 203.0.113.66.443 > 10.70.0.66.40139: tcp 0
1787537590.002000 IP 10.70.0.66.40139 > 203.0.113.66.443: tcp 0
1787537590.003000 IP 10.70.0.66.40139 > 203.0.113.66.443: tcp 50086
1787537590.004000 IP 203.0.113.66.443 > 10.70.0.66.40139: tcp 2
1787537590.005000 IP 10.70.0.66.40139 > 203.0.113.66.443: tcp 0
1787537590.006000 IP 203.0.113.66.443 > 10.70.0.66.40139: tcp 0
1787537600.000000 IP 10.70.0.66.40140 > 203.0.113.66.443: tcp 0
1787537600.001000 IP 203.0.113.66.443 > 10.70.0.66.40140: tcp 0
1787537600.002000 IP 10.70.0.66.40140 > 203.0.113.66.443: tcp 0
1787537600.003000 IP 10.70.0.66.40140 > 203.0.113.66.443: tcp 50086
1787537600.004000 IP 203.0.113.66.443 > 10.70.0.66.40140: tcp 2
1787537600.005000 IP 10.70.0.66.40140 > 203.0.113.66.443: tcp 0
1787537600.006000 IP 203.0.113.66.443 > 10.70.0.66.40140: tcp 0
1787537610.000000 IP 10.70.0.66.40141 > 203.0.113.66.443: tcp 0
1787537610.001000 IP 203.0.113.66.443 > 10.70.0.66.40141: tcp 0
1787537610.002000 IP 10.70.0.66.40141 > 203.0.113.66.443: tcp 0
1787537610.003000 IP 10.70.0.66.40141 > 203.0.113.66.443: tcp 50086
1787537610.004000 IP 203.0.113.66.443 > 10.70.0.66.40141: tcp 2
1787537610.005000 IP 10.70.0.66.40141 > 203.0.113.66.443: tcp 0
1787537610.006000 IP 203.0.113.66.443 > 10.70.0.66.40141: tcp 0
1787537620.000000 IP 10.70.0.66.40142 > 203.0.113.66.443: tcp 0
1787537620.001000 IP 203.0.113.66.443 > 10.70.0.66.40142: tcp 0
1787537620.002000 IP 10.70.0.66.40142 > 203.0.113.66.443: tcp 0
1787537620.003000 IP 10.70.0.66.40142 > 203.0.113.66.443: tcp 50086
1787537620.004000 IP 203.0.113.66.443 > 10.70.0.66.40142: tcp 2
1787537620.005000 IP 10.70.0.66.40142 > 203.0.113.66.443: tcp 0
1787537620.006000 IP 203.0.113.66.443 > 10.70.0.66.40142: tcp 0
1787537630.000000 IP 10.70.0.66.40143 > 203.0.113.66.443: tcp 0
1787537630.001000 IP 203.0.113.66.443 > 10.70.0.66.40143: tcp 0
1787537630.002000 IP 10.70.0.66.40143 > 203.0.113.66.443: tcp 0
1787537630.003000 IP 10.70.0.66.40143 > 203.0.113.66.443: tcp 50086
1787537630.004000 IP 203.0.113.66.443 > 10.70.0.66.40143: tcp 2
1787537630.005000 IP 10.70.0.66.40143 > 203.0.113.66.443: tcp 0
1787537630.006000 IP 203.0.113.66.443 > 10.70.0.66.40143: tcp 0
1787537640.000000 IP 10.70.0.66.40144 > 203.0.113.66.443: tcp 0
1787537640.001000 IP 203.0.113.66.443 > 10.70.0.66.40144: tcp 0
1787537640.002000 IP 10.70.0.66.40144 > 203.0.113.66.443: tcp 0
1787537640.003000 IP 10.70.0.66.40144 > 203.0.113.66.443: tcp 50086
1787537640.004000 IP 203.0.113.66.443 > 10.70.0.66.40144: tcp 2
1787537640.005000 IP 10.70.0.66.40144 > 203.0.113.66.443: tcp 0
1787537640.006000 IP 203.0.113.66.443 > 10.70.0.66.40144: tcp 0
1787537650.000000 IP 10.70.0.66.40145 > 203.0.113.66.443: tcp 0
1787537650.001000 IP 203.0.113.66.443 > 10.70.0.66.40145: tcp 0
1787537650.002000 IP 10.70.0.66.40145 > 203.0.113.66.443: tcp 0
1787537650.003000 IP 10.70.0.66.40145 > 203.0.113.66.443: tcp 50086
1787537650.004000 IP 203.0.113.66.443 > 10.70.0.66.40145: tcp 2
1787537650.005000 IP 10.70.0.66.40145 > 203.0.113.66.443: tcp 0
1787537650.006000 IP 203.0.113.66.443 > 10.70.0.66.40145: tcp 0
1787537660.000000 IP 10.70.0.66.40146 > 203.0.113.66.443: tcp 0
1787537660.001000 IP 203.0.113.66.443 > 10.70.0.66.40146: tcp 0
1787537660.002000 IP 10.70.0.66.40146 > 203.0.113.66.443: tcp 0
1787537660.003000 IP 10.70.0.66.40146 > 203.0.113.66.443: tcp 50086
1787537660.004000 IP 203.0.113.66.443 > 10.70.0.66.40146: tcp 2
1787537660.005000 IP 10.70.0.66.40146 > 203.0.113.66.443: tcp 0
1787537660.006000 IP 203.0.113.66.443 > 10.70.0.66.40146: tcp 0
1787537670.000000 IP 10.70.0.66.40147 > 203.0.113.66.443: tcp 0
1787537670.001000 IP 203.0.113.66.443 > 10.70.0.66.40147: tcp 0
1787537670.002000 IP 10.70.0.66.40147 > 203.0.113.66.443: tcp 0
1787537670.003000 IP 10.70.0.66.40147 > 203.0.113.66.443: tcp 50086
1787537670.004000 IP 203.0.113.66.443 > 10.70.0.66.40147: tcp 2
1787537670.005000 IP 10.70.0.66.40147 > 203.0.113.66.443: tcp 0
1787537670.006000 IP 203.0.113.66.443 > 10.70.0.66.40147: tcp 0
1787537680.000000 IP 10.70.0.66.40148 > 203.0.113.66.443: tcp 0
1787537680.001000 IP 203.0.113.66.443 > 10.70.0.66.40148: tcp 0
1787537680.002000 IP 10.70.0.66.40148 > 203.0.113.66.443: tcp 0
1787537680.003000 IP 10.70.0.66.40148 > 203.0.113.66.443: tcp 50086
1787537680.004000 IP 203.0.113.66.443 > 10.70.0.66.40148: tcp 2
1787537680.005000 IP 10.70.0.66.40148 > 203.0.113.66.443: tcp 0
1787537680.006000 IP 203.0.113.66.443 > 10.70.0.66.40148: tcp 0
1787537690.000000 IP 10.70.0.66.40149 > 203.0.113.66.443: tcp 0
1787537690.001000 IP 203.0.113.66.443 > 10.70.0.66.40149: tcp 0
1787537690.002000 IP 10.70.0.66.40149 > 203.0.113.66.443: tcp 0
1787537690.003000 IP 10.70.0.66.40149 > 203.0.113.66.443: tcp 50086
1787537690.004000 IP 203.0.113.66.443 > 10.70.0.66.40149: tcp 2
1787537690.005000 IP 10.70.0.66.40149 > 203.0.113.66.443: tcp 0
1787537690.006000 IP 203.0.113.66.443 > 10.70.0.66.40149: tcp 0
1787537700.000000 IP 10.70.0.66.40150 > 203.0.113.66.443: tcp 0
1787537700.001000 IP 203.0.113.66.443 > 10.70.0.66.40150: tcp 0
1787537700.002000 IP 10.70.0.66.40150 > 203.0.113.66.443: tcp 0
1787537700.003000 IP 10.70.0.66.40150 > 203.0.113.66.443: tcp 50086
1787537700.004000 IP 203.0.113.66.443 > 10.70.0.66.40150: tcp 2
1787537700.005000 IP 10.70.0.66.40150 > 203.0.113.66.443: tcp 0
1787537700.006000 IP 203.0.113.66.443 > 10.70.0.66.40150: tcp 0
1787537710.000000 IP 10.70.0.66.40151 > 203.0.113.66.443: tcp 0
1787537710.001000 IP 203.0.113.66.443 > 10.70.0.66.40151: tcp 0
1787537710.002000 IP 10.70.0.66.40151 > 203.0.113.66.443: tcp 0
1787537710.003000 IP 10.70.0.66.40151 > 203.0.113.66.443: tcp 50086
1787537710.004000 IP 203.0.113.66.443 > 10.70.0.66.40151: tcp 2
1787537710.005000 IP 10.70.0.66.40151 > 203.0.113.66.443: tcp 0
1787537710.006000 IP 203.0.113.66.443 > 10.70.0.66.40151: tcp 0
1787537720.000000 IP 10.70.0.66.40152 > 203.0.113.66.443: tcp 0
1787537720.001000 IP 203.0.113.66.443 > 10.70.0.66.40152: tcp 0
1787537720.002000 IP 10.70.0.66.40152 > 203.0.113.66.443: tcp 0
1787537720.003000 IP 10.70.0.66.40152 > 203.0.113.66.443: tcp 50086
1787537720.004000 IP 203.0.113.66.443 > 10.70.0.66.40152: tcp 2
1787537720.005000 IP 10.70.0.66.40152 > 203.0.113.66.443: tcp 0
1787537720.006000 IP 203.0.113.66.443 > 10.70.0.66.40152: tcp 0
1787537730.000000 IP 10.70.0.66.40153 > 203.0.113.66.443: tcp 0
1787537730.001000 IP 203.0.113.66.443 > 10.70.0.66.40153: tcp 0
1787537730.002000 IP 10.70.0.66.40153 > 203.0.113.66.443: tcp 0
1787537730.003000 IP 10.70.0.66.40153 > 203.0.113.66.443: tcp 50086
1787537730.004000 IP 203.0.113.66.443 > 10.70.0.66.40153: tcp 2
1787537730.005000 IP 10.70.0.66.40153 > 203.0.113.66.443: tcp 0
1787537730.006000 IP 203.0.113.66.443 > 10.70.0.66.40153: tcp 0
1787537740.000000 IP 10.70.0.66.40154 > 203.0.113.66.443: tcp 0
1787537740.001000 IP 203.0.113.66.443 > 10.70.0.66.40154: tcp 0
1787537740.002000 IP 10.70.0.66.40154 > 203.0.113.66.443: tcp 0
1787537740.003000 IP 10.70.0.66.40154 > 203.0.113.66.443: tcp 50086
1787537740.004000 IP 203.0.113.66.443 > 10.70.0.66.40154: tcp 2
1787537740.005000 IP 10.70.0.66.40154 > 203.0.113.66.443: tcp 0
1787537740.006000 IP 203.0.113.66.443 > 10.70.0.66.40154: tcp 0
1787537750.000000 IP 10.70.0.66.40155 > 203.0.113.66.443: tcp 0
1787537750.001000 IP 203.0.113.66.443 > 10.70.0.66.40155: tcp 0
1787537750.002000 IP 10.70.0.66.40155 > 203.0.113.66.443: tcp 0
1787537750.003000 IP 10.70.0.66.40155 > 203.0.113.66.443: tcp 50086
1787537750.004000 IP 203.0.113.66.443 > 10.70.0.66.40155: tcp 2
1787537750.005000 IP 10.70.0.66.40155 > 203.0.113.66.443: tcp 0
1787537750.006000 IP 203.0.113.66.443 > 10.70.0.66.40155: tcp 0
1787537760.000000 IP 10.70.0.66.40156 > 203.0.113.66.443: tcp 0
1787537760.001000 IP 203.0.113.66.443 > 10.70.0.66.40156: tcp 0
1787537760.002000 IP 10.70.0.66.40156 > 203.0.113.66.443: tcp 0
1787537760.003000 IP 10.70.0.66.40156 > 203.0.113.66.443: tcp 50086
1787537760.004000 IP 203.0.113.66.443 > 10.70.0.66.40156: tcp 2
1787537760.005000 IP 10.70.0.66.40156 > 203.0.113.66.443: tcp 0
1787537760.006000 IP 203.0.113.66.443 > 10.70.0.66.40156: tcp 0
1787537770.000000 IP 10.70.0.66.40157 > 203.0.113.66.443: tcp 0
1787537770.001000 IP 203.0.113.66.443 > 10.70.0.66.40157: tcp 0
1787537770.002000 IP 10.70.0.66.40157 > 203.0.113.66.443: tcp 0
1787537770.003000 IP 10.70.0.66.40157 > 203.0.113.66.443: tcp 50086
1787537770.004000 IP 203.0.113.66.443 > 10.70.0.66.40157: tcp 2
1787537770.005000 IP 10.70.0.66.40157 > 203.0.113.66.443: tcp 0
1787537770.006000 IP 203.0.113.66.443 > 10.70.0.66.40157: tcp 0
1787537780.000000 IP 10.70.0.66.40158 > 203.0.113.66.443: tcp 0
1787537780.001000 IP 203.0.113.66.443 > 10.70.0.66.40158: tcp 0
1787537780.002000 IP 10.70.0.66.40158 > 203.0.113.66.443: tcp 0
1787537780.003000 IP 10.70.0.66.40158 > 203.0.113.66.443: tcp 50086
1787537780.004000 IP 203.0.113.66.443 > 10.70.0.66.40158: tcp 2
1787537780.005000 IP 10.70.0.66.40158 > 203.0.113.66.443: tcp 0
1787537780.006000 IP 203.0.113.66.443 > 10.70.0.66.40158: tcp 0
1787537790.000000 IP 10.70.0.66.40159 > 203.0.113.66.443: tcp 0
1787537790.001000 IP 203.0.113.66.443 > 10.70.0.66.40159: tcp 0
1787537790.002000 IP 10.70.0.66.40159 > 203.0.113.66.443: tcp 0
1787537790.003000 IP 10.70.0.66.40159 > 203.0.113.66.443: tcp 50086
1787537790.004000 IP 203.0.113.66.443 > 10.70.0.66.40159: tcp 2
1787537790.005000 IP 10.70.0.66.40159 > 203.0.113.66.443: tcp 0
1787537790.006000 IP 203.0.113.66.443 > 10.70.0.66.40159: tcp 0
1787537800.000000 IP 10.70.0.66.40160 > 203.0.113.66.443: tcp 0
1787537800.001000 IP 203.0.113.66.443 > 10.70.0.66.40160: tcp 0
1787537800.002000 IP 10.70.0.66.40160 > 203.0.113.66.443: tcp 0
1787537800.003000 IP 10.70.0.66.40160 > 203.0.113.66.443: tcp 50086
1787537800.004000 IP 203.0.113.66.443 > 10.70.0.66.40160: tcp 2
1787537800.005000 IP 10.70.0.66.40160 > 203.0.113.66.443: tcp 0
1787537800.006000 IP 203.0.113.66.443 > 10.70.0.66.40160: tcp 0
1787537810.000000 IP 10.70.0.66.40161 > 203.0.113.66.443: tcp 0
1787537810.001000 IP 203.0.113.66.443 > 10.70.0.66.40161: tcp 0
1787537810.002000 IP 10.70.0.66.40161 > 203.0.113.66.443: tcp 0
1787537810.003000 IP 10.70.0.66.40161 > 203.0.113.66.443: tcp 50086
1787537810.004000 IP 203.0.113.66.443 > 10.70.0.66.40161: tcp 2
1787537810.005000 IP 10.70.0.66.40161 > 203.0.113.66.443: tcp 0
1787537810.006000 IP 203.0.113.66.443 > 10.70.0.66.40161: tcp 0
1787537820.000000 IP 10.70.0.66.40162 > 203.0.113.66.443: tcp 0
1787537820.001000 IP 203.0.113.66.443 > 10.70.0.66.40162: tcp 0
1787537820.002000 IP 10.70.0.66.40162 > 203.0.113.66.443: tcp 0
1787537820.003000 IP 10.70.0.66.40162 > 203.0.113.66.443: tcp 50086
1787537820.004000 IP 203.0.113.66.443 > 10.70.0.66.40162: tcp 2
1787537820.005000 IP 10.70.0.66.40162 > 203.0.113.66.443: tcp 0
1787537820.006000 IP 203.0.113.66.443 > 10.70.0.66.40162: tcp 0
1787537830.000000 IP 10.70.0.66.40163 > 203.0.113.66.443: tcp 0
1787537830.001000 IP 203.0.113.66.443 > 10.70.0.66.40163: tcp 0
1787537830.002000 IP 10.70.0.66.40163 > 203.0.113.66.443: tcp 0
1787537830.003000 IP 10.70.0.66.40163 > 203.0.113.66.443: tcp 50086
1787537830.004000 IP 203.0.113.66.443 > 10.70.0.66.40163: tcp 2
1787537830.005000 IP 10.70.0.66.40163 > 203.0.113.66.443: tcp 0
1787537830.006000 IP 203.0.113.66.443 > 10.70.0.66.40163: tcp 0
1787537840.000000 IP 10.70.0.66.40164 > 203.0.113.66.443: tcp 0
1787537840.001000 IP 203.0.113.66.443 > 10.70.0.66.40164: tcp 0
1787537840.002000 IP 10.70.0.66.40164 > 203.0.113.66.443: tcp 0
1787537840.003000 IP 10.70.0.66.40164 > 203.0.113.66.443: tcp 50086
1787537840.004000 IP 203.0.113.66.443 > 10.70.0.66.40164: tcp 2
1787537840.005000 IP 10.70.0.66.40164 > 203.0.113.66.443: tcp 0
1787537840.006000 IP 203.0.113.66.443 > 10.70.0.66.40164: tcp 0
1787537850.000000 IP 10.70.0.66.40165 > 203.0.113.66.443: tcp 0
1787537850.001000 IP 203.0.113.66.443 > 10.70.0.66.40165: tcp 0
1787537850.002000 IP 10.70.0.66.40165 > 203.0.113.66.443: tcp 0
1787537850.003000 IP 10.70.0.66.40165 > 203.0.113.66.443: tcp 50086
1787537850.004000 IP 203.0.113.66.443 > 10.70.0.66.40165: tcp 2
1787537850.005000 IP 10.70.0.66.40165 > 203.0.113.66.443: tcp 0
1787537850.006000 IP 203.0.113.66.443 > 10.70.0.66.40165: tcp 0
1787537860.000000 IP 10.70.0.66.40166 > 203.0.113.66.443: tcp 0
1787537860.001000 IP 203.0.113.66.443 > 10.70.0.66.40166: tcp 0
1787537860.002000 IP 10.70.0.66.40166 > 203.0.113.66.443: tcp 0
1787537860.003000 IP 10.70.0.66.40166 > 203.0.113.66.443: tcp 50086
1787537860.004000 IP 203.0.113.66.443 > 10.70.0.66.40166: tcp 2
1787537860.005000 IP 10.70.0.66.40166 > 203.0.113.66.443: tcp 0
1787537860.006000 IP 203.0.113.66.443 > 10.70.0.66.40166: tcp 0
1787537870.000000 IP 10.70.0.66.40167 > 203.0.113.66.443: tcp 0
1787537870.001000 IP 203.0.113.66.443 > 10.70.0.66.40167: tcp 0
1787537870.002000 IP 10.70.0.66.40167 > 203.0.113.66.443: tcp 0
1787537870.003000 IP 10.70.0.66.40167 > 203.0.113.66.443: tcp 50086
1787537870.004000 IP 203.0.113.66.443 > 10.70.0.66.40167: tcp 2
1787537870.005000 IP 10.70.0.66.40167 > 203.0.113.66.443: tcp 0
1787537870.006000 IP 203.0.113.66.443 > 10.70.0.66.40167: tcp 0
1787537880.000000 IP 10.70.0.66.40168 > 203.0.113.66.443: tcp 0
1787537880.001000 IP 203.0.113.66.443 > 10.70.0.66.40168: tcp 0
1787537880.002000 IP 10.70.0.66.40168 > 203.0.113.66.443: tcp 0
1787537880.003000 IP 10.70.0.66.40168 > 203.0.113.66.443: tcp 50086
1787537880.004000 IP 203.0.113.66.443 > 10.70.0.66.40168: tcp 2
1787537880.005000 IP 10.70.0.66.40168 > 203.0.113.66.443: tcp 0
1787537880.006000 IP 203.0.113.66.443 > 10.70.0.66.40168: tcp 0
1787537890.000000 IP 10.70.0.66.40169 > 203.0.113.66.443: tcp 0
1787537890.001000 IP 203.0.113.66.443 > 10.70.0.66.40169: tcp 0
1787537890.002000 IP 10.70.0.66.40169 > 203.0.113.66.443: tcp 0
1787537890.003000 IP 10.70.0.66.40169 > 203.0.113.66.443: tcp 50086
1787537890.004000 IP 203.0.113.66.443 > 10.70.0.66.40169: tcp 2
1787537890.005000 IP 10.70.0.66.40169 > 203.0.113.66.443: tcp 0
1787537890.006000 IP 203.0.113.66.443 > 10.70.0.66.40169: tcp 0
1787537900.000000 IP 10.70.0.66.40170 > 203.0.113.66.443: tcp 0
1787537900.001000 IP 203.0.113.66.443 > 10.70.0.66.40170: tcp 0
1787537900.002000 IP 10.70.0.66.40170 > 203.0.113.66.443: tcp 0
1787537900.003000 IP 10.70.0.66.40170 > 203.0.113.66.443: tcp 50086
1787537900.004000 IP 203.0.113.66.443 > 10.70.0.66.40170: tcp 2
1787537900.005000 IP 10.70.0.66.40170 > 203.0.113.66.443: tcp 0
1787537900.006000 IP 203.0.113.66.443 > 10.70.0.66.40170: tcp 0
1787537910.000000 IP 10.70.0.66.40171 > 203.0.113.66.443: tcp 0
1787537910.001000 IP 203.0.113.66.443 > 10.70.0.66.40171: tcp 0
1787537910.002000 IP 10.70.0.66.40171 > 203.0.113.66.443: tcp 0
1787537910.003000 IP 10.70.0.66.40171 > 203.0.113.66.443: tcp 50086
1787537910.004000 IP 203.0.113.66.443 > 10.70.0.66.40171: tcp 2
1787537910.005000 IP 10.70.0.66.40171 > 203.0.113.66.443: tcp 0
1787537910.006000 IP 203.0.113.66.443 > 10.70.0.66.40171: tcp 0
1787537920.000000 IP 10.70.0.66.40172 > 203.0.113.66.443: tcp 0
1787537920.001000 IP 203.0.113.66.443 > 10.70.0.66.40172: tcp 0
1787537920.002000 IP 10.70.0.66.40172 > 203.0.113.66.443: tcp 0
1787537920.003000 IP 10.70.0.66.40172 > 203.0.113.66.443: tcp 50086
1787537920.004000 IP 203.0.113.66.443 > 10.70.0.66.40172: tcp 2
1787537920.005000 IP 10.70.0.66.40172 > 203.0.113.66.443: tcp 0
1787537920.006000 IP 203.0.113.66.443 > 10.70.0.66.40172: tcp 0
1787537930.000000 IP 10.70.0.66.40173 > 203.0.113.66.443: tcp 0
1787537930.001000 IP 203.0.113.66.443 > 10.70.0.66.40173: tcp 0
1787537930.002000 IP 10.70.0.66.40173 > 203.0.113.66.443: tcp 0
1787537930.003000 IP 10.70.0.66.40173 > 203.0.113.66.443: tcp 50086
1787537930.004000 IP 203.0.113.66.443 > 10.70.0.66.40173: tcp 2
1787537930.005000 IP 10.70.0.66.40173 > 203.0.113.66.443: tcp 0
1787537930.006000 IP 203.0.113.66.443 > 10.70.0.66.40173: tcp 0
1787537940.000000 IP 10.70.0.66.40174 > 203.0.113.66.443: tcp 0
1787537940.001000 IP 203.0.113.66.443 > 10.70.0.66.40174: tcp 0
1787537940.002000 IP 10.70.0.66.40174 > 203.0.113.66.443: tcp 0
1787537940.003000 IP 10.70.0.66.40174 > 203.0.113.66.443: tcp 50086
1787537940.004000 IP 203.0.113.66.443 > 10.70.0.66.40174: tcp 2
1787537940.005000 IP 10.70.0.66.40174 > 203.0.113.66.443: tcp 0
1787537940.006000 IP 203.0.113.66.443 > 10.70.0.66.40174: tcp 0
1787537950.000000 IP 10.70.0.66.40175 > 203.0.113.66.443: tcp 0
1787537950.001000 IP 203.0.113.66.443 > 10.70.0.66.40175: tcp 0
1787537950.002000 IP 10.70.0.66.40175 > 203.0.113.66.443: tcp 0
1787537950.003000 IP 10.70.0.66.40175 > 203.0.113.66.443: tcp 50086
1787537950.004000 IP 203.0.113.66.443 > 10.70.0.66.40175: tcp 2
1787537950.005000 IP 10.70.0.66.40175 > 203.0.113.66.443: tcp 0
1787537950.006000 IP 203.0.113.66.443 > 10.70.0.66.40175: tcp 0
1787537960.000000 IP 10.70.0.66.40176 > 203.0.113.66.443: tcp 0
1787537960.001000 IP 203.0.113.66.443 > 10.70.0.66.40176: tcp 0
1787537960.002000 IP 10.70.0.66.40176 > 203.0.113.66.443: tcp 0
1787537960.003000 IP 10.70.0.66.40176 > 203.0.113.66.443: tcp 50086
1787537960.004000 IP 203.0.113.66.443 > 10.70.0.66.40176: tcp 2
1787537960.005000 IP 10.70.0.66.40176 > 203.0.113.66.443: tcp 0
1787537960.006000 IP 203.0.113.66.443 > 10.70.0.66.40176: tcp 0
1787537970.000000 IP 10.70.0.66.40177 > 203.0.113.66.443: tcp 0
1787537970.001000 IP 203.0.113.66.443 > 10.70.0.66.40177: tcp 0
1787537970.002000 IP 10.70.0.66.40177 > 203.0.113.66.443: tcp 0
1787537970.003000 IP 10.70.0.66.40177 > 203.0.113.66.443: tcp 50086
1787537970.004000 IP 203.0.113.66.443 > 10.70.0.66.40177: tcp 2
1787537970.005000 IP 10.70.0.66.40177 > 203.0.113.66.443: tcp 0
1787537970.006000 IP 203.0.113.66.443 > 10.70.0.66.40177: tcp 0
1787537980.000000 IP 10.70.0.66.40178 > 203.0.113.66.443: tcp 0
1787537980.001000 IP 203.0.113.66.443 > 10.70.0.66.40178: tcp 0
1787537980.002000 IP 10.70.0.66.40178 > 203.0.113.66.443: tcp 0
1787537980.003000 IP 10.70.0.66.40178 > 203.0.113.66.443: tcp 50086
1787537980.004000 IP 203.0.113.66.443 > 10.70.0.66.40178: tcp 2
1787537980.005000 IP 10.70.0.66.40178 > 203.0.113.66.443: tcp 0
1787537980.006000 IP 203.0.113.66.443 > 10.70.0.66.40178: tcp 0
1787537990.000000 IP 10.70.0.66.40179 > 203.0.113.66.443: tcp 0
1787537990.001000 IP 203.0.113.66.443 > 10.70.0.66.40179: tcp 0
1787537990.002000 IP 10.70.0.66.40179 > 203.0.113.66.443: tcp 0
1787537990.003000 IP 10.70.0.66.40179 > 203.0.113.66.443: tcp 50086
1787537990.004000 IP 203.0.113.66.443 > 10.70.0.66.40179: tcp 2
1787537990.005000 IP 10.70.0.66.40179 > 203.0.113.66.443: tcp 0
1787537990.006000 IP 203.0.113.66.443 > 10.70.0.66.40179: tcp 0
1787538000.000000 IP 10.70.0.66.40180 > 203.0.113.66.443: tcp 0
1787538000.001000 IP 203.0.113.66.443 > 10.70.0.66.40180: tcp 0
1787538000.002000 IP 10.70.0.66.40180 > 203.0.113.66.443: tcp 0
1787538000.003000 IP 10.70.0.66.40180 > 203.0.113.66.443: tcp 50086
1787538000.004000 IP 203.0.113.66.443 > 10.70.0.66.40180: tcp 2
1787538000.005000 IP 10.70.0.66.40180 > 203.0.113.66.443: tcp 0
1787538000.006000 IP 203.0.113.66.443 > 10.70.0.66.40180: tcp 0
1787538010.000000 IP 10.70.0.66.40181 > 203.0.113.66.443: tcp 0
1787538010.001000 IP 203.0.113.66.443 > 10.70.0.66.40181: tcp 0
1787538010.002000 IP 10.70.0.66.40181 > 203.0.113.66.443: tcp 0
1787538010.003000 IP 10.70.0.66.40181 > 203.0.113.66.443: tcp 50086
1787538010.004000 IP 203.0.113.66.443 > 10.70.0.66.40181: tcp 2
1787538010.005000 IP 10.70.0.66.40181 > 203.0.113.66.443: tcp 0
1787538010.006000 IP 203.0.113.66.443 > 10.70.0.66.40181: tcp 0
1787538020.000000 IP 10.70.0.66.40182 > 203.0.113.66.443: tcp 0
1787538020.001000 IP 203.0.113.66.443 > 10.70.0.66.40182: tcp 0
1787538020.002000 IP 10.70.0.66.40182 > 203.0.113.66.443: tcp 0
1787538020.003000 IP 10.70.0.66.40182 > 203.0.113.66.443: tcp 50086
1787538020.004000 IP 203.0.113.66.443 > 10.70.0.66.40182: tcp 2
1787538020.005000 IP 10.70.0.66.40182 > 203.0.113.66.443: tcp 0
1787538020.006000 IP 203.0.113.66.443 > 10.70.0.66.40182: tcp 0
1787538030.000000 IP 10.70.0.66.40183 > 203.0.113.66.443: tcp 0
1787538030.001000 IP 203.0.113.66.443 > 10.70.0.66.40183: tcp 0
